Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Could Everis economically help me being certificated in a technology/area of expertise?	*   That highly depends on the technology and whether it is considered strategical for T&AS UK at the moment.\n\nUsually we do provide exam vouchers for most strategical certification exam, but please contact us at [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com") to advise you better on your specific needs.	Editorial		[]	false	[]	9
I’d like to attend an specific IT event happening in London for my area of expertise.	*   We review these situations case by case, mainly depending on the technology or event we are talking about.\n\nPlease write us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com")and let’s discuss specifically about this IT event you are interested in.	Editorial		[]	false	[]	10
How can T&AS Training help me being aware of IT events happening around me?	*   We review these situations case by case, mainly depending on the technology or event we are talking about.\n\nPlease write us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com")and let’s discuss specifically about this IT event you are interested in.	Editorial		[]	false	[]	10
Is there some way to be aware of IT events of my interest around London?	*   We review these situations case by case, mainly depending on the technology or event we are talking about.\n\nPlease write us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com")and let’s discuss specifically about this IT event you are interested in.	Editorial		[]	false	[]	10
Can I be aware of specific IT events happening around here?	*   We review these situations case by case, mainly depending on the technology or event we are talking about.\n\nPlease write us an email to [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com")and let’s discuss specifically about this IT event you are interested in.	Editorial		[]	false	[]	10
Which path can you recommend for me?	*   We recommend you to start by reading the first question of this FAQ as it reflects the different training alternatives we promote.\n\nIf you are still unsure about what to do next, please contact us at [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com"), let’s have a coffee and discuss it together.	Editorial		[]	false	[]	11
I'm unsure which learning path I should start.	*   We recommend you to start by reading the first question of this FAQ as it reflects the different training alternatives we promote.\n\nIf you are still unsure about what to do next, please contact us at [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com"), let’s have a coffee and discuss it together.	Editorial		[]	false	[]	11
Where should I start training?	*   We recommend you to start by reading the first question of this FAQ as it reflects the different training alternatives we promote.\n\nIf you are still unsure about what to do next, please contact us at [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com"), let’s have a coffee and discuss it together.	Editorial		[]	false	[]	11
What do you suggest to do in order to start training with you?	*   We recommend you to start by reading the first question of this FAQ as it reflects the different training alternatives we promote.\n\nIf you are still unsure about what to do next, please contact us at [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com"), let’s have a coffee and discuss it together.	Editorial		[]	false	[]	11
I'm not sure about the paths promoted by the company. 	*   We recommend you to start by reading the first question of this FAQ as it reflects the different training alternatives we promote.\n\nIf you are still unsure about what to do next, please contact us at [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com"), let’s have a coffee and discuss it together.	Editorial		[]	false	[]	11
What Everis suggest me to do in order to start training?	*   We recommend you to start by reading the first question of this FAQ as it reflects the different training alternatives we promote.\n\nIf you are still unsure about what to do next, please contact us at [UK.TEC.Training@everis.com](mailto:UK.TEC.Training@everis.com "mailto:uk.tec.training@everis.com"), let’s have a coffee and discuss it together.	Editorial		[]	false	[]	11
